,state,fyDeclared,disasterNumber
0,AK,1954,1
1,AK,1955,1
2,AK,1956,1
3,AK,1964,1
4,AK,1967,1
5,AK,1970,2
6,AK,1971,2
7,AK,1973,1
8,AK,1974,3
9,AK,1975,1
10,AK,1976,1
11,AK,1987,2
12,AK,1988,1
13,AK,1989,2
14,AK,1990,1
15,AK,1991,2
16,AK,1994,1
17,AK,1996,3
18,AK,2000,1
19,AK,2001,1
20,AK,2002,1
21,AK,2003,3
22,AK,2004,3
23,AK,2005,2
24,AK,2006,3
25,AK,2007,4
26,AK,2008,1
27,AK,2009,2
28,AK,2010,1
29,AK,2011,2
30,AK,2012,2
31,AK,2013,2
32,AK,2014,2
33,AK,2015,2
34,AK,2016,2
35,AK,2018,3
36,AK,2019,5
37,AK,2020,2
38,AK,2021,1
39,AK,2022,7
40,AK,2023,2
41,AL,1961,1
42,AL,1970,2
43,AL,1973,2
44,AL,1974,1
45,AL,1975,3
46,AL,1976,1
47,AL,1977,2
48,AL,1978,2
49,AL,1979,3
50,AL,1980,1
51,AL,1981,2
52,AL,1984,2
53,AL,1985,1
54,AL,1990,3
55,AL,1991,1
56,AL,1993,1
57,AL,1994,3
58,AL,1995,1
59,AL,1996,3
60,AL,1997,1
61,AL,1998,4
62,AL,1999,8
63,AL,2000,3
64,AL,2001,2
65,AL,2002,2
66,AL,2003,3
67,AL,2004,1
68,AL,2005,4
69,AL,2007,1
70,AL,2008,3
71,AL,2009,3
72,AL,2010,3
73,AL,2011,2
74,AL,2012,2
75,AL,2014,1
76,AL,2016,1
77,AL,2017,1
78,AL,2018,3
79,AL,2019,4
80,AL,2020,8
81,AL,2021,3
82,AL,2022,1
83,AL,2023,2
84,AR,1957,1
85,AR,1958,1
86,AR,1960,1
87,AR,1961,1
88,AR,1963,1
89,AR,1964,1
90,AR,1968,2
91,AR,1969,1
92,AR,1972,1
93,AR,1973,2
94,AR,1974,2
95,AR,1975,2
96,AR,1976,1
97,AR,1977,1
98,AR,1978,3
99,AR,1979,1
100,AR,1980,1
101,AR,1982,1
102,AR,1983,2
103,AR,1988,2
104,AR,1989,1
105,AR,1990,1
106,AR,1991,1
107,AR,1992,1
108,AR,1994,1
109,AR,1996,1
110,AR,1997,2
111,AR,1998,1
112,AR,1999,1
113,AR,2001,3
114,AR,2002,1
115,AR,2003,2
116,AR,2004,2
117,AR,2005,1
118,AR,2006,1
119,AR,2008,4
120,AR,2009,5
121,AR,2010,2
122,AR,2011,2
123,AR,2013,3
124,AR,2014,2
125,AR,2015,1
126,AR,2016,2
127,AR,2017,1
128,AR,2019,3
129,AR,2020,5
130,AR,2022,1
131,AR,2023,2
132,AR,2024,1
133,AS,1966,1
134,AS,1974,1
135,AS,1980,1
136,AS,1981,1
137,AS,1987,1
138,AS,1990,1
139,AS,1992,1
140,AS,2003,1
141,AS,2004,1
142,AS,2005,1
143,AS,2009,1
144,AS,2014,1
145,AS,2018,2
146,AS,2020,2
147,AS,2022,1
148,AZ,1966,1
149,AZ,1970,1
150,AZ,1972,1
151,AZ,1973,1
152,AZ,1977,1
153,AZ,1978,2
154,AZ,1979,1
155,AZ,1980,1
156,AZ,1983,1
157,AZ,1984,1
158,AZ,1985,1
159,AZ,1990,1
160,AZ,1991,1
161,AZ,1993,5
162,AZ,1994,5
163,AZ,1995,2
164,AZ,1996,3
165,AZ,1999,1
166,AZ,2000,1
167,AZ,2001,1
168,AZ,2002,6
169,AZ,2003,4
170,AZ,2004,2
171,AZ,2005,9
172,AZ,2006,5
173,AZ,2008,1
174,AZ,2009,2
175,AZ,2010,5
176,AZ,2011,5
177,AZ,2013,4
178,AZ,2015,4
179,AZ,2016,1
180,AZ,2017,3
181,AZ,2018,3
182,AZ,2019,3
183,AZ,2020,9
184,AZ,2021,5
185,AZ,2022,4
186,AZ,2023,3
187,CA,1954,1
188,CA,1956,1
189,CA,1957,1
190,CA,1958,1
191,CA,1962,2
192,CA,1963,2
193,CA,1964,2
194,CA,1965,1
195,CA,1966,2
196,CA,1967,1
197,CA,1969,2
198,CA,1970,2
199,CA,1971,1
200,CA,1972,3
201,CA,1973,1
202,CA,1974,2
203,CA,1976,1
204,CA,1977,2
205,CA,1978,1
206,CA,1979,3
207,CA,1980,3
208,CA,1981,2
209,CA,1982,3
210,CA,1983,4
211,CA,1985,3
212,CA,1986,1
213,CA,1987,1
214,CA,1988,4
215,CA,1990,2
216,CA,1991,1
217,CA,1992,6
218,CA,1993,1
219,CA,1994,3
220,CA,1995,2
221,CA,1997,2
222,CA,1998,1
223,CA,1999,2
224,CA,2000,1
225,CA,2002,12
226,CA,2003,7
227,CA,2004,33
228,CA,2005,7
229,CA,2006,11
230,CA,2007,12
231,CA,2008,22
232,CA,2009,15
233,CA,2010,9
234,CA,2011,6
235,CA,2012,3
236,CA,2013,8
237,CA,2014,17
238,CA,2015,8
239,CA,2016,13
